"","name","position","specialty","education"
"1799","KUMAR,SATHISH","Associate Professor","Comparative Biosciences","DVM 1996 Tamil Nadu Vet &amp; Ani Sci Univ"
"1800","KUO,WAN-CHIN","Lecturer","Nursing","PHD 2019 Univ of Wisconsin-Madison"
"1801","KURTZ,ROBIN","Dis Faculty Associate","Bacteriology","PHD 1984 Univ of Wisconsin-Madison"
"1802","KURUTZ,MARIA","Asst Faculty Assoc","Design Studies","BA 1979 Mount Mary College"
"1803","KUZUHARA,LOREN","Senior Lecturer","Management &amp; Human Resources","PHD 1994 Univ of Wisconsin-Madison"
"1804","KWAN,JASON","Associate Professor","Pharmacy","PHD 2010 University of Florida"
"1805","KWASNY,MICHELLE","Faculty Associate","Design Studies","MS 2008 Georgia Inst of Technology"
"1806","KWEKKEBOOM,KRISTINE","Professor","Nursing","PHD 1999 Univ of Wisconsin-Madison"
"1807","KWIECINSKI,BROOKE RENEE","Clinical Assoc Prof","Psychiatry","MD 2008 Highland Park Community Coll"
"1808","KWON,DOHYUN","Visiting Asst Prof","Mathematics","PHD 2020 Univ of California Los Angeles"
"1809","KWON,GLEN","Professor","Pharmacy","PHD 1991 University of Utah"
"1810","KWON,OH HOON","Assoc Faculty Assoc","Mathematics","PHD 2012 Michigan State University"
"1811","KYDD,ANDREW","Professor","Political Science","PHD 1996 University of Chicago"
"1812","LA ROWE,TARA LEA","Assoc Faculty Assoc","Nutritional Sciences","PHD 2005 Univ of Wisconsin-Madison"
"1813","LA,CHI","Adjunct Asst Prof","Engr Professional Development","MS 1996 Univ of Wisconsin-Madison"
"1814","LABELLE,SUSAN M","Adjunct Professor","Ms In Biotechnology Degree Prg","MBA  Northern Illinois University"
"1815","LABOSKI,CARRIE","Professor","Soil Science","PHD 2001 Univ Of Minnesota-St Paul"
"1816","LACROSSE,TONY","Instructor Of Mil Sci","Military Science","BAS 2014 Univ of Wisconsin-Platteville"
"1817","LAESEKE,PAUL","Assistant Professor","Radiology","PHD 2007 Univ of Wisconsin-Madison"
"1818","LAGALLY,MAX G.","Professor Emer","Materials Science&amp;Engineering","PHD 1968 Univ of Wisconsin-Madison"
"1819","LAGMAN,EILEEN","Assistant Professor","English","PHD 2015 Univ of IL at Urbana-Champaign"
"1820","LAGRO,JAMES","Professor","Planning &amp; Landscape Arch","PHD 1991 Cornell University"
"1821","LAHTI,JOHN L.","Adjunct Asst Prof","Engr Professional Development","PHD 2004 Univ of Wisconsin-Madison"
"1822","LAI,HUICHUAN J","Professor","Nutritional Sciences","PHD 1994 Univ of Wisconsin-Madison"
"1823","LAJCAK,RENEE","Senior Lecturer","English","MS 1987 Univ of Wisconsin-Milwaukee"
"1824","LAKES,RODERIC","Professor","Engineering Physics","PHD 1975 Rensselaer Polytechnic Inst"
"1825","LAMBERT,PAUL","Professor","Oncology","PHD 1985 Univ of Wisconsin-Madison"
"1826","LAMMING,DUDLEY W","Associate Professor","Medicine","PHD 2008 Harvard University"
"1827","LAMONT,LIANA","Faculty Associate","Chemistry","PHD 2006 Univ of Wisconsin-Madison"
"1828","LANDESS,JACQUELINE","Clinical Adjunct Asst Prof","Volunteer Staff","MD 2010 Vanderbilt University"
"1829","LANDGRAF,THOMAS ALLAN","Senior Lecturer","Real Estate &amp; Urgan Land Econ","BBA 1972 Univ of Wisconsin-Madison"
"1830","LANDICK,ROBERT","Professor","Biochemistry","PHD 1983 Univ of Michigan at Ann Arbor"
"1831","LANDIS,CLARK R.","Professor","Chemistry","PHD 1983 University of Chicago"
"1832","LANG,JOSHUA MICHAEL","Associate Professor","Medicine","MD 2006 Univ of Illinois at Chicago"
"1833","LANG,LAURA MICHELLE","Assoc Faculty Assoc","General Administration","EDD 2012 Univ of Wisconsin-Madison"
"1834","LANGVA,GLORIANN F","Lecturer","Art","BFA 2013 Alfred University"
"1835","LANIUS,JESSICA BESS","Lecturer","Theatre &amp; Drama","MFA  Rutgers State Univ-Newark"
"1836","LANKAU,RICHARD","Associate Professor","Plant Pathology","PHD 2007 Univ of California Davis"
"1837","LAPIN,JOSHUA ADAM","Assoc Faculty Assoc","Social Work","MSSW 1998 Univ of Wisconsin-Madison"
"1838","LAPINA,ELIZABETH","Associate Professor","History","PHD 2007 Johns Hopkins University"
"1839","LAPLANTE,MARK J","Senior Lecturer","Finance","PHD 2003 University of Washington"
"1840","LAPLANTE,STACIE","Associate Professor","Accting &amp; Info Sys","PHD 2005 University of Washington"
"1841","LAPOINT,PAIGE","Lecturer","Engineering Student Developmnt","MS 2015 Minnesota State Univ, Mankato"
"1842","LAPORTA,JIMENA","Assistant Professor","Animal And Dairy Sciences","PHD 2014 Univ of Wisconsin-Madison"
"1843","LARGET,BRET ROBERT","Professor","Botany","PHD 1994 Univ of California Berkeley"
"1844","LARK,TYLER JAMES","Lecturer","Academic Programs","PHD 2017 Univ of Wisconsin-Madison"
"1845","LAROCHE,CHRIS","Senior Lecturer","Information School","MS 2009 Bentley College"
"1846","LARSEN-KLODD,KATHRYN","Assoc Faculty Assoc","Social Work","MSSW 1996 Univ of Wisconsin-Madison"
"1847","LARSON,ELIZABETH","Associate Professor","Kinesiology","PHD 1996 Univ of Southern California"
"1848","LARSON,JENNIFER CISKE","Asst Professor (Chs)","Ophthalmology&amp;Visual Sciences","MD 2014 Univ of Wisconsin-Madison"
"1849","LARSON,LAURIE J.","Senior Scientist","Pathobiological Sciences","DVM 1987 Iowa State Univ of Sci &amp; Tech"
"1850","LARSON-GUENETTE,JULIE CHRISTINE","Assoc Faculty Assoc","German, Nordic &amp; Slavic","PHD 2012 Univ of Wisconsin-Madison"
"1851","LASHNITS,ERIN","Clinical Asst Prof","Medical Sciences",NA
"1852","LASKEY,FRANCES","Lecturer","Wisconsin School Of Business","PHD 2014 Univ of Wisconsin-Madison"
"1853","LATHROUM,CHELE","Clinical Instructor","Medical Sciences",NA
"1854","LATIMER,TIMOTHY","Faculty Associate","Social Work","MSSW 1989 Univ of Wisconsin-Madison"
"1855","LATTIS,JAMES MARION","Faculty Associate","Astronomy","PHD 1989 Univ of Wisconsin-Madison"
"1856","LAUGHON,ALLEN","Professor Emer","Genetics","PHD 1983 University of Utah"
"1857","LAUHON,CHARLES","Associate Professor","Pharmacy","PHD 1992 Univ of California Berkeley"
"1858","LAURENZ,JEAN M","Assistant Professor","Mead Witter School Of Music","MM 2013 Yale University"
"1859","LAUVER,DIANE RUTH","Professor","Nursing","PHD 1987 University Of Rochester"
"1860","LAVIN,KELLY ANN","Clinical Asst Prof","Medicine","MD 2011 Univ of Wisconsin-Madison"
"1861","LAWLER,JAMES EDWARD","Professor","Physics","PHD 1978 Univ of Wisconsin-Madison"
"1862","LAYOUN,MARY N.","Professor","Comp Lit &amp; Folklore Studies","PHD 1984 Univ of California Berkeley"
"1863","LAZARIAN,ALEX","Professor","Astronomy","PHD 1995 University of Cambridge"
"1864","LE,HAU D","Assistant Professor","Surgery","MD 2005 Boston University"
"1865","LECLAIR, JESSICA","Clinical Instructor","Nursing","MPH 2016 Univ of Massachusetts Amherst"
"1866","LECUYER,TRISTAN S","Professor","Atmospheric &amp; Oceanic Sciences","PHD 2001 Colorado State University"
"1867","LEDERER,SUSAN MARIE","Professor","Dept Of Med History&amp;Bioethics","PHD 1987 Univ of Wisconsin-Madison"
"1868","LEDESMA,EDNA","Assistant Professor","Planning &amp; Landscape Arch","PHD 2016 Texas A &amp; M University"
"1869","LEE,ALICIA","Assistant Professor","Mead Witter School Of Music","MM 2006 Univ of Southern California"
"1870","LEE,CAROL EUNMI","Professor","Integrative Biology","PHD 1997 Univ of California San Diego"
"1871","LEE,CHOUA","Lecturer","Asian Languages &amp; Cultures","MA 2004 Edgewood College"
"1872","LEE,GRACE","Assoc Faculty Assoc","Kinesiology","PHD 2009 Univ of Wisconsin-Madison"
"1873","LEE,HARRY","Visiting Asst Prof","Mathematics","PHD 2020 Univ of Michigan at Ann Arbor"
"1874","LEE,HELEN","Associate Professor","Art","MFA 2006 Rhode Island School of Design"
"1875","LEE,JOHN","Professor","Industrial &amp; Systems Engr","PHD 1992 Univ of IL at Urbana-Champaign"
"1876","LEE,JONAS J","Assoc Professor (Chs)","Family Medicine","MD 1996 University of Kansas"
"1877","LEE,KANGWOOK","Assistant Professor","Electrical &amp; Computer Engr","PHD  Univ of California Berkeley"
"1878","LEE,LAURA","Clinical Instructor","Pathobiological Sciences","DVM 2017 Univ of Wisconsin-Madison"
"1879","LEE,RACHEL","Clinical Asst Prof","Communication Sci &amp; Disorders","AUD 2013 Univ of Wisconsin-Madison"
"1880","LEE,STACEY","Professor","Educational Policy Studies","PHD 1991 University of Pennsylvania"
"1881","LEE,TEV","Lecturer","Counseling Psychology","EDM 2014 Univ of Wisconsin-La Crosse"
"1882","LEE,YOUNGSOOK","Associate Professor","Cell And Regenerative Biology","PHD 1989 Univ of Wisconsin-Madison"
"1883","LEES,THOMAS MICHAEL","Lecturer","Art","AS 2011 Cabrillo College"
"1884","LEFF,PAUL ADAM","Lecturer","Finance","MS 1983 Univ of Wisconsin-Madison"
"1885","LEGAULT,HOBBES","Assoc Faculty Assoc","Computer Sciences","PHD 2018 Univ of Wisconsin-Madison"
"1886","LEGENZA,LAUREL","Assoc Faculty Assoc","Pharmacy","PHD 2013 Univ of Wisconsin-Madison"
"1887","LEI,REED","Assistant Professor","Political Science","PHD 2020 New York University"
"1888","LEITH,ELIZABETH A.","Lecturer","Anthropology","MA 2006 University of Oklahoma"
"1889","LEKO,MELINDA","Professor","Rehab Psychology &amp; Special Ed","PHD 2008 University of Florida"
"1890","LEMASTER,TRACY WENDT","Lecturer","Gender And Women Studies","PHD 2012 Univ of Wisconsin-Madison"
"1891","LEMIRAND-POEPPING,DAWN","Faculty Associate","Curriculum And Instruction","MA 2014 Univ of Wisconsin-Madison"
"1892","LEMPP,STEFFEN","Professor","Mathematics","PHD 1986 University of Chicago"
"1893","LENNIX,SHAWN","Clinical Instructor","Pathobiological Sciences","DVM 2003 Univ of Wisconsin-Madison"
"1894","LENTZ,RASMUS","Professor","Economics","PHD 2002 Northwestern University"
"1895","LEONARD,KATHERINE","Clinical Instructor","Surgical Sciences","DVM 2016 Tufts University"
"1896","LEONE,VANESSA","Assistant Professor","Animal And Dairy Sciences","PHD 2009 Univ of Wisconsin-Madison"
"1897","LEPOWSKY,MARIA","Professor","Anthropology","PHD 1981 Univ of California Berkeley"
"1898","LERMAN,OMER","Clinical Instructor","Pathobiological Sciences","DVM 2011 "
"1899","LESIEUTRE,BERNIE","Professor","Electrical &amp; Computer Engr","PHD 1993 Univ of IL at Urbana-Champaign"
"1900","LESLIE,TREVOR M","Visiting Asst Prof","Mathematics","PHD 2018 "
"1901","LESSARD,LAURENT","Assistant Professor","Electrical &amp; Computer Engr","PHD 2011 Stanford University"
"1902","LEVCHENKO,ALEX","Professor","Physics","PHD 2009 Univ of Minnesota-Twin Cities"
"1903","LEVCHENKO,POLINA","Asst Faculty Assoc","Human Development&amp;Family Study","PHD 2013 Univ of Minnesota-Twin Cities"
"1904","LEVENSON,BARRY MARTIN","Adjunct Instructor","Law School","JD 1974 Univ of Wisconsin-Madison"
"1905","LEVERTY,TYLER","Associate Professor","Risk &amp; Insurance","PHD 2005 Georgia State University"
"1906","LEVIN,KEITH D.","Assistant Professor","Statistics","PHD 2017 Johns Hopkins University"
"1907","LEVINE,OLIVER","Associate Professor","Finance","PHD 2011 University of Pennsylvania"
"1908","LEWIS,ALICE KELSEY","Assoc Lecturer","Gender And Women Studies","PHS  University of Florida"
"1909","LEWIS,DAVID LAWRENCE","Adjunct Professor","Ms In Biotechnology Degree Prg","PHD 1994 Michigan State University"
"1910","LEWIS,PETER W","Associate Professor","Biomolecular Chemistry","PHD 2006 Univ of California Berkeley"
"1911","LEWIS,SHANA RUTH","Adjunct Instructor","Ex Mba Program Office","JD 1999 Univ of Wisconsin-Madison"
"1912","LEWIS-WILLIAMS,TRACY","Faculty Associate","Computer Sciences","PHD 2004 VA Polytechnic Inst &amp; State U"
"1913","LI,CHIAO-PING","Professor","Dance","MA 1989 Univ of California Los Angeles"
"1914","LI,JAMES","Assistant Professor","Psychology","PHD 2013 Univ of California Los Angeles"
"1915","LI,JINGSHAN","Professor","Industrial &amp; Systems Engr","PHD 2000 Univ of Michigan at Ann Arbor"
"1916","LI,KE","Assistant Professor","Medical Physics","PHD 2013 Univ of Wisconsin-Madison"
"1917","LI,LINGJUN","Professor","Pharmacy","PHD 2000 Univ of IL at Urbana-Champaign"
"1918","LI,MIN","Senior Lecturer","Management &amp; Human Resources","PHD 2008 Duke University"
"1919","LI,NAN","Assistant Professor","Life Sciences Communication","PHD 2015 Univ of Wisconsin-Madison"
"1920","LI,QIN","Associate Professor","Mathematics","PHD 2013 Univ of Wisconsin-Madison"
"1921","LI,SHARON","Assistant Professor","Computer Sciences","PHD 2017 Cornell University"
"1922","LI,WAN-JU","Associate Professor","Orthopedics And Rehabilitation","PHD 2004 Thomas Jefferson University"
"1923","LI,WEIJIA","Assistant Professor","German, Nordic &amp; Slavic","PHD 2009 Ohio State University"
"1924","LI,YAFEI","Professor","Language Sciences Program","PHD 1990 Massachusetts Inst Of Tech"
"1925","LI,YIN","Assistant Professor","Biostatistics&amp;Med Informatics","PHD 2017 Georgia Inst of Technology"
"1926","LI,YUHANG","Associate Professor","Art History","PHD 2011 University of Chicago"
"1927","LIANG,YINGYU","Assistant Professor","Computer Sciences","PHD 2014 Georgia Inst of Technology"
"1928","LIANG,YUN","Assistant Professor","Medical Microbiology","PHD 2013 Univ of California San Diego"
"1929","LIDOR,ANNE","Professor (Chs)","Surgery","MD 1996 Touro College"
"1930","LIEBE,ETHAN","Assoc Lecturer","Accting &amp; Info Sys","MACC 2020 Univ of Wisconsin-Madison"
"1931","LIGHT,MICHAEL THOMAS","Associate Professor","Sociology","PHD 2013 Pennsylvania State University"
"1932","LIKOS,WILLIAM","Professor","Civil &amp; Environmental Engr","PHD 2000 Colorado School of Mines"
"1933","LIM,BYUNG-JIN","Associate Professor","Asian Languages &amp; Cultures","PHD 2003 Indiana University"
"1934","LIM,CHAEYOON","Professor","Sociology","PHD 2007 Harvard University"
"1935","LIM,CI JI","Assistant Professor","Biochemistry","PHD 2014 National Univ. of Singapore"
"1936","LIM,SIN YIN","Asst Professor (Chs)","Pharmacy","PHARMD 2016 University of Oklahoma"
"1937","LIN,JASON CHIEH-SHEN","Senior Lecturer","Engr Professional Development","PHD 1988 Univ of Wisconsin-Madison"
"1938","LINDBERG,SARA","Asst Professor (Chs)","Population Health Sciences","PHD 2008 Univ of Wisconsin-Madison"
"1939","LINDEMANN,ABBY","Lecturer","Counseling Psychology","PHD 2017 Univ of Wisconsin-Madison"
"1940","LINDEROTH,JEFFREY","Professor","Industrial &amp; Systems Engr","PHD 1998 Georgia Inst of Technology"
"1941","LINDLEY,BEN","Assistant Professor","Engineering Physics","PHD  "
"1942","LINDROTH,RICK","Professor","Entomology","PHD 1984 Univ of IL at Urbana-Champaign"
"1943","LINDSAY,KEISHA","Associate Professor","Gender And Women Studies","PHD 2009 University of Chicago"
"1944","LINDSEY,MELISSA","Faculty Associate","Mathematics","PHD 2011 Purdue University"
"1945","LINDSTROM,TIMOTHY DAVID","Assoc Lecturer","Office Of Sustainability","PHD 2020 Univ of Wisconsin-Madison"
"1946","LINSMEIER,THOMAS J.","Professor","Accting &amp; Info Sys","PHD 1985 Univ of Wisconsin-Madison"
"1947","LINTNER,KIM","Clinical Instructor","Academic Affairs","PHARMD 2001 Univ of Wisconsin-Madison"
"1948","LINZMEIER,BENJAMIN JOHN","Assoc Lecturer","Geoscience","PHD 2017 Univ of Wisconsin-Madison"
"1949","LIPASTI,MIKKO","Professor","Electrical &amp; Computer Engr","PHD 1997 Carnegie-Mellon University"
"1950","LIPINSKI,ROBERT JAN","Associate Professor","Comparative Biosciences","PHD 2008 Univ of Wisconsin-Madison"
"1951","LISOWSKI,DAN","Associate Professor","Theatre &amp; Drama","MFA 2009 Yale University"
"1952","LITOVSKY,RUTH Y","Professor","Communication Sci &amp; Disorders","PHD 1991 Univ of Massachusetts Amherst"
"1953","LITZELMAN,KRISTIN","Assistant Professor","School Of Human Ecology","PHD 2013 Univ of Wisconsin-Madison"
"1954","LIU,BO","Professor","Surgery","PHD 1993 SUNY Health Sci Cntr-Syracuse"
"1955","LIU,GLENN","Professor","Medicine","MD 1997 Thomas Jefferson University"
"1956","LIU,KAIBO","Associate Professor","Industrial &amp; Systems Engr","PHD 2013 Georgia Inst of Technology"
"1957","LIU,QING","Associate Professor","Marketing","PHD 2006 Ohio State University"
"1958","LIU,RAN","Assistant Professor","Educational Policy Studies","PHD 2019 University of Pennsylvania"
"1959","LIVANOS,CHRISTOPHER","Professor","#N/A","PHD 2001 Harvard University"
"1960","LIVORNI,ERNESTO","Professor","French And Italian","PHD 1990 University of Connecticut"
"1961","LIWE,AMELIA JOAN","Faculty Associate","Se Asian Summer Studies Inst","PHD 2010 Univ of Wisconsin-Madison"
"1962","LLOYD,SARAH","Associate Scientist","Ctr For Integrated Agric Syst","PHD 2012 Univ of Wisconsin-Madison"
"1963","LO SARDO,VALENTINA","Assistant Professor","Cell And Regenerative Biology","PHD 2010 Univ degli Studi di Milano"
"1964","LO,ADELINE Y","Assistant Professor","Political Science","PHD 2016 Univ of California San Diego"
"1965","LOCONTE,NOELLE","Associate Professor","Medicine","MD 2000 Univ of Illinois at Chicago"
"1966","LOEB,DAN","Professor","Oncology","PHD 1988 Univ Of NC At Chapel Hill"
"1967","LOEBER,SAMANTHA","Clinical Asst Prof","Surgical Sciences","DVM 2015 Colorado State University"
"1968","LOEWEN,CARIN","Asst Faculty Assoc","Genetics","PHD 2005 Colorado State University"
"1969","LOFTON,LAUREN K.","Lecturer","Real Estate &amp; Urgan Land Econ","JD 2003 Washington University"
"1970","LOH,PO-LING","Associate Professor","Statistics","PHD 2014 Univ of California Berkeley"
"1971","LOH,WEI-YIN","Professor","Statistics","PHD 1982 Univ of California Berkeley"
"1972","LOHEIDE II,STEVEN PAUL","Professor","Civil &amp; Environmental Engr","PHD 2006 Stanford University"
"1973","LOKUTA,ANDREW J","Faculty Associate","Kinesiology","PHD 1993 Univ Of Maryland At Baltimore"
"1974","LONDON-JOHNSON,ANTOINETTE MARIE","Assoc Lecturer","Human Development&amp;Family Study","PHD 2020 Florida State University"
"1975","LONG,MICAH THOMAS","Asst Professor (Chs)","Anesthesiology","MD 2009 Univ of Wisconsin-Madison"
"1976","LONG,PETE","Assoc Faculty Assoc","Journalism&amp;Mass Communication","MBA  Pepperdine University"
"1977","LONG,XIAOYANG","Assistant Professor","Operations &amp; Information Mgmt","PHD 2017 Hong Kong Univ of Sci &amp; Tech"
"1978","LONGO,LANCE PETER","Clinical Adjunct Assoc Prof","Volunteer Staff","MD 1990 Medical College Of Wisconsin"
"1979","LOOK,KEVIN","Assistant Professor","Pharmacy","PHD 2013 Univ of Wisconsin-Madison"
"1980","LOPEZ,JASON","Assistant Professor","Communication Arts","PHD 2011 Indiana University"
"1981","LOPEZ,LORI","Associate Professor","Communication Arts","PHD 2012 Univ of Southern California"
"1982","LOPEZ-HERNANDEZ,ARNOLDO","Lecturer","Food Science","PHD 2006 Universidad Veracruzana"
"1983","LOR,MAICHOU","Assistant Professor","Nursing","PHD 2017 Univ of Wisconsin-Madison"
"1984","LORD PLUMMER,KIM","Senior Lecturer","Comparative Biosciences","PHD 1992 Univ of Wisconsin-Madison"
"1985","LOTHARY,BRITTA N","Clinical Instructor","Nursing","MSN 2012 Maryville Univ Of St. Louis"
"1986","LOTHE,KATIE","Clinical Assoc Prof","Nursing","DNP 2012 Univ of Wisconsin-Milwaukee"
"1987","LOTLIKAR,SUSHMITA","Lecturer","Counseling Psychology","MSED 2014 "
"1988","LOTTA,CORISSA","Faculty Associate","Counseling Psychology","PHD 2001 Arizona State University"
"1989","LOUDEN,MARK","Professor","German, Nordic &amp; Slavic","PHD 1988 Cornell University"
"1990","LOUIE,NICOLE L","Assistant Professor","Curriculum And Instruction","PHD 2015 Univ of California Berkeley"
"1991","LOVE,HAILEY","Assistant Professor","Rehab Psychology &amp; Special Ed","PHD 2018 University of Kansas"
"1992","LOVELACE,DAVID MICHAEL","Assistant Scientist","Geoscience","PHD 2012 Univ of Wisconsin-Madison"
"1993","LOWE,CHLORIS","Lecturer","Amer Ind St","MFA 2009 Rhode Island School of Design"
"1994","LOYD,JENNA M","Associate Professor","Geography","PHD 2005 U of California Ext-Berkeley"
"1995","LU,QIONGSHI","Assistant Professor","Biostatistics&amp;Med Informatics","PHD 2017 Yale University"
"1996","LUBNER,SAM JOSEPH","Assoc Professor (Chs)","Medicine","MD 2003 Univ of Wisconsin-Madison"
"1997","LUBSEN,JULIA R","Asst Professor (Chs)","Family Medicine","MD 2013 Yale University"
"1998","LUBY,CLAIRE","Lecturer","Educational Policy Studies","PHD 2016 Univ of Wisconsin-Madison"
"1999","LUCEY,JOHN A.","Professor","Food Science","PHD 1992 Ireland (Eire)"
"2000","LUCEY,MICHAEL R","Professor","Medicine","MD 1985 Univ of Dublin-Trinity College"
"2001","LUCK,BRIAN","Assistant Professor","Biological Systems Engineering","PHD 2013 Mississippi State University"
"2002","LUDOIS,DANIEL COLIN","Associate Professor","Electrical &amp; Computer Engr","PHD 2011 Univ of Wisconsin-Madison"
"2003","LUDVIK,GEOFFREY EDMOND","Assoc Lecturer","Anthropology","PHD 2018 Univ of Wisconsin-Madison"
"2004","LUDWIG,KIP ALLAN","Associate Professor","Biomedical Engineering","PHD  "
"2005","LUEDTKE,JIM","Professor","Industrial &amp; Systems Engr","PHD 2007 Georgia Inst of Technology"
"2006","LUKSZYS,PETER B","Senior Lecturer","Grainger Ctr For Scm","MBA 2001 Univ of Wisconsin-Madison"
"2007","LUNASIN,EVELYN M","Visiting Assoc Prof","Mathematics","PHD 2007 Univ of California Irvine"
"2008","LUND,JANE RENEE","Clinical Asst Prof","Surgical Sciences","DVM 2007 Univ of Wisconsin-Madison"
"2009","LUPYAN,GARY","Professor","Psychology","PHD 2007 Carnegie-Mellon University"
"2010","LUTER,DAVID GAVIN","Assoc Lecturer","Planning &amp; Landscape Arch","PHD 2015 SUNY at Buffalo"
"2011","LUTZ,ROBERT SCOTT","Associate Professor","Forest &amp; Wildlife Ecology","PHD 1987 Oregon State University"
"2012","LUZZIO,CHRISTOPHER C","Assoc Professor (Chs)","Neurology","MD 1993 Univ of Kansas Medical Center"
"2013","LYNCH,DAN","Associate Professor","Accting &amp; Info Sys","PHD 2014 Michigan State University"
"2014","LYNN,DAVID M.","Professor","Chemical &amp; Biological Engr","PHD 1999 California Institute of Tech"
"2015","LYONS,JOHN DAVID","Assoc Lecturer","Integrative Biology","PHD 1984 Univ of Wisconsin-Madison"
"2016","MA,CHU","Assistant Professor","Electrical &amp; Computer Engr","PHD 2019 Massachusetts Inst Of Tech"
"2017","MA,ZHENQIANG","Professor","Electrical &amp; Computer Engr","PHD 2001 Univ of Michigan at Ann Arbor"
"2018","MACASAET,DAVID WEBER","Lecturer","Counseling Psychology","MFA 2005 University of Montana"
"2019","MACAULAY,MONICA","Professor","Language Sciences Program","PHD 1987 Univ of California Berkeley"
"2020","MACDONALD,MARYELLEN","Professor","Psychology","PHD 1986 Univ of California Los Angeles"
"2021","MACE,DAKOTA","Lecturer","Art","MFA 2017 Univ of Wisconsin-Madison"
"2022","MACGUIDWIN,ANN E.","Professor","Plant Pathology","PHD 1983 Michigan State University"
"2023","MACHADO,EMILY","Assistant Professor","Curriculum And Instruction","PHD 2018 Univ of Illinois at Chicago"
"2024","MACHLEIDT,THOMAS","Adjunct Professor","Ms In Biotechnology Degree Prg","PHD 2016 Technische Universitat Munchen"
"2025","MACHOIAN,RONALD","Senior Lecturer","Is Major","PHD 2002 Univ of Missouri-Kansas City"
"2026","MACKAY,JOHN","Associate Professor","Philosophy","PHD 2011 Princeton University"
"2027","MACOMBER,KELSEY","Assoc Lecturer","Dance","BS 2014 Univ of Wisconsin-Madison"
"2028","MADDEN,CAITLIN","Adjunct Instructor","Law School","JD 2014 Univ of Wisconsin-Madison"
"2029","MADDEN,HALEY","Outreach Specialist","General Administration","PHD 2017 Univ of Wisconsin-Madison"
"2030","MADUREIRA,LUIS","Professor","African Cultural Studies","PHD 1991 Univ of California San Diego"
"2031","MAEDA,HIROSHI","Associate Professor","Botany","PHD 2006 Michigan State University"
"2032","MAES,MARINA","Asst Professor (Chs)","Pharmacy","PHARMD 2017 Univ of Colorado at Denver"
"2033","MAGANTI,RAMA K","Professor (Chs)","Neurology","MBBS 1987 Guntur Medical College"
"2034","MAGNOLFI,LORENZO","Assistant Professor","Economics","PHD 2016 Yale University"
"2035","MAGNUSON,KATHERINE ANNE","Professor","Social Work","PHD 2002 Northwestern University"
"2036","MAGUIRE,MICHAEL","Assoc Faculty Assoc","Civil Society And Comm Studies","MS 1992 Univ of Wisconsin-Madison"
"2037","MAHER,JESSICA M","Lecturer","Ed Leadership&amp;Policy Analysis","PHD 2011 Univ of Michigan at Ann Arbor"
"2038","MAHMOUD,AHMED I","Assistant Professor","Cell And Regenerative Biology","PHD 2012 Southwestern University"
"2039","MAIER,JOSEPH MICHAEL","Adjunct Instructor","Law School","JD 1995 Univ of Wisconsin-Madison"
"2040","MAJUMDER,ERICA L-W","Assistant Professor","Bacteriology","PHD 2015 Washington University"
"2041","MAJUMDER,KINJAL","Assistant Professor","Oncology","PHD 2015 Washington University"
"2042","MAKI,DENNIS G.","Professor Emer","Medicine","MD 1967 Univ of Wisconsin-Madison"
"2043","MAKI,LYNN MARIE","Assoc Lecturer","Counseling Psychology","MA 2012 Edgewood College"
"2044","MALECKI,KRISTEN","Associate Professor","Population Health Sciences","PHD 2005 Johns Hopkins University"
"2045","MALITSKY,EUGENIA","Lecturer","Mathematics","MA 1991 Univ of California Berkeley"
"2046","MALLOY,MATTHEW","Adjunct Asst Prof","Electrical &amp; Computer Engr","PHD  Univ of Wisconsin-Madison"
"2047","MALONE,KRISTA-LEE MEGHAN","Faculty Associate","Curriculum And Instruction","PHD 2015 Univ of Wisconsin-Milwaukee"
"2048","MALONE,MARY KATHRYN","Faculty Associate","Ft Mba Program Office","MS 2016 Harvard University"
"2049","MALSON-HUDDLE,ELIZABETH","Senior Lecturer","Wisconsin School Of Business","PHD 2009 Univ of Wisconsin-Madison"
"2050","MANDEL,MARK","Associate Professor","Medical Microbiology","PHD 2005 Princeton University"
"2051","MANI,B. VENKAT","Professor","German, Nordic &amp; Slavic","PHD 2001 Stanford University"
"2052","MANKOWSKI,JOEL E","Senior Lecturer","Communication Sci &amp; Disorders","MS 1994 McDaniel College"
"2053","MANN,TERRY MICHAEL","Senior Lecturer","Industrial &amp; Systems Engr","MS 1998 Univ of Wisconsin-Madison"
"2054","MANS,CHRISTOPH","Clinical Assoc Prof","Surgical Sciences","DVM 2006 Universitat Leipzig"
"2055","MAO,LU","Assistant Professor","Biostatistics&amp;Med Informatics","PHD 2016 Univ Of NC At Chapel Hill"
"2056","MARA,KATHRYN","Assoc Lecturer","African Cultural Studies","PHD 2020 Univ of Wisconsin-Madison"
"2057","MARAVELIAS,CHRISTOS","Professor","Chemical &amp; Biological Engr","PHD 2004 Carnegie-Mellon University"
"2058","MARCHE,JORDAN D.","Senior Lecturer","Astronomy","PHD 1999 Indiana University"
"2059","MARCOTT,SHAUN ANDREW","Associate Professor","Geoscience","PHD 2011 Oregon State University"
"2060","MARCOUILLER,DAVID","Professor","Planning &amp; Landscape Arch","PHD 1992 Oklahoma State University"
"2061","MARES,MARIE-LOUISE","Professor","Communication Arts","PHD 1994 Univ of Wisconsin-Madison"
"2062","MARES-PERLMAN,JULIE ANNE","Professor","Ophthalmology&amp;Visual Sciences","PHD 1987 Univ of Wisconsin-Madison"
